frame_id,track_id,vehicle_type,vehicle_bbox_x1,vehicle_bbox_y1,vehicle_bbox_x2,vehicle_bbox_y2,plate_bbox_x1,plate_bbox_y1,plate_bbox_x2,plate_bbox_y2,plate_confidence,detect_inference_ms,ocr_ran,ocr_raw_text,ocr_confidence,ocr_validated_plate,ocr_status,ocr_inference_ms
290,5,auto,1390,324,1920,1028,1592,629,1694,698,0.325,235.2,True,TN03D9766,0.986,TN03D9766,accepted,199.8
310,5,auto,1390,321,1920,1028,1693,821,1784,870,0.358,275.6,True,,,,no_text,54.5
315,5,auto,1392,323,1920,1028,1592,630,1693,699,0.261,234.9,True,TN03D9766,0.990,TN03D9766,accepted,195.3
320,5,auto,1391,322,1920,1027,1689,818,1786,870,0.292,240.4,True,,,,no_text,53.7
325,5,auto,1392,321,1920,1026,1693,821,1783,870,0.300,234.9,True,,,,no_text,53.3
340,5,auto,1393,321,1920,1026,1691,820,1782,870,0.314,226.2,True,,,,no_text,54.6
380,5,auto,1392,330,1918,1033,1591,635,1704,710,0.322,268.2,True,TN03D9766,0.971,TN03D9766,accepted,155.7
385,5,auto,1392,331,1918,1034,1590,634,1701,707,0.394,226.4,True,TN03D9766,0.979,TN03D9766,accepted,156.4
390,5,auto,1394,331,1919,1033,1592,632,1698,702,0.388,241.2,True,TN03D9766,0.985,TN03D9766,accepted,236.6
395,5,auto,1396,330,1920,1033,1598,632,1702,699,0.522,243.1,True,TN03D9766,0.975,TN03D9766,accepted,277.7
400,5,auto,1398,330,1920,1035,1599,632,1707,701,0.593,252.7,True,TN03D9766,0.980,TN03D9766,accepted,154.3
405,5,auto,1401,331,1920,1036,1600,630,1712,702,0.606,232.0,True,TN03D9766,0.986,TN03D9766,accepted,159.1
410,5,auto,1400,329,1920,1037,1602,629,1711,699,0.589,270.1,True,TN03D9766,0.976,TN03D9766,accepted,155.8
415,5,auto,1405,329,1920,1035,1606,630,1718,702,0.628,231.9,True,TN03D9766,0.968,TN03D9766,accepted,156.4
420,5,auto,1408,330,1920,1034,1611,631,1722,702,0.589,232.3,True,TN03D9766,0.980,TN03D9766,accepted,278.1
425,5,auto,1412,330,1920,1035,1616,630,1729,702,0.609,245.6,True,TN03D9766,0.969,TN03D9766,accepted,239.9
430,5,auto,1415,329,1920,1034,1619,628,1735,701,0.601,246.6,True,TN03D9766,0.980,TN03D9766,accepted,155.1
435,5,auto,1416,328,1920,1037,1626,630,1739,700,0.504,240.3,True,TN03D9766,0.984,TN03D9766,accepted,155.9
440,5,auto,1421,329,1920,1037,1634,631,1742,698,0.352,243.9,True,TN03D9766,0.968,TN03D9766,accepted,155.0
445,5,auto,1425,327,1920,1038,1638,628,1756,702,0.363,230.1,True,TN03D9766,0.968,TN03D9766,accepted,239.4
450,5,auto,1430,328,1920,1039,1642,628,1758,701,0.292,258.7,True,TN03D9766,0.977,TN03D9766,accepted,155.3
465,5,auto,1433,327,1920,1040,1639,627,1764,706,0.392,238.5,True,TN03D9766,0.977,TN03D9766,accepted,158.4
470,5,auto,1435,326,1920,1040,1638,628,1761,706,0.406,222.1,True,TN03D9766,0.985,TN03D9766,accepted,158.7
475,5,auto,1435,326,1920,1040,1635,628,1760,708,0.290,230.8,True,TN03D9766,0.970,TN03D9766,accepted,155.9
480,5,auto,1434,324,1920,1040,1637,628,1756,704,0.435,236.7,True,TN03D9766,0.966,TN03D9766,accepted,156.1
485,5,auto,1435,323,1920,1038,1639,625,1757,701,0.595,223.8,True,TN03D9766,0.981,TN03D9766,accepted,239.3
490,5,auto,1436,322,1920,1036,1636,624,1763,706,0.551,224.9,True,TN03D9766,0.967,TN03D9766,accepted,283.3
495,5,auto,1437,319,1920,1037,1643,624,1766,703,0.438,235.3,True,TN03D9766,0.977,TN03D9766,accepted,156.8
500,5,auto,1441,317,1920,1036,1653,626,1767,699,0.370,229.4,True,TN03D9766,0.992,TN03D9766,accepted,156.0
520,5,auto,1453,317,1920,1032,1655,624,1774,701,0.437,292.5,True,TN03D9766,0.982,TN03D9766,accepted,209.3
525,5,auto,1452,319,1920,1035,1654,624,1780,707,0.465,223.2,True,TN03D9766,0.981,TN03D9766,accepted,157.4
530,5,auto,1452,318,1920,1035,1656,624,1777,703,0.387,248.8,True,TN03D9766,0.981,TN03D9766,accepted,155.9
535,5,auto,1453,318,1920,1035,1658,624,1776,702,0.466,229.2,True,TN03D9766,0.972,TN03D9766,accepted,197.4
540,5,auto,1454,317,1920,1034,1661,626,1772,698,0.307,228.8,True,TN03D9766,0.984,TN03D9766,accepted,156.9
545,5,auto,1455,318,1920,1034,1663,625,1775,698,0.520,222.6,True,TN03D9766,0.975,TN03D9766,accepted,198.9
550,5,auto,1455,318,1920,1035,1653,622,1784,709,0.538,247.4,True,TN03D9766,0.981,TN03D9766,accepted,160.9
555,5,auto,1455,319,1920,1035,1653,623,1778,706,0.604,218.1,True,TN03D9766,0.963,TN03D9766,accepted,199.3
560,5,auto,1454,318,1920,1037,1651,622,1780,709,0.609,221.2,True,TN03D9766,0.984,TN03D9766,accepted,157.8
565,5,auto,1454,320,1920,1038,1647,620,1784,713,0.668,230.6,True,TN03D9766,0.973,TN03D9766,accepted,154.6
565,5,auto,1454,320,1920,1038,1645,618,1780,756,0.454,230.6,True,,,,no_text,261.0
570,5,auto,1457,324,1920,1037,1651,623,1782,713,0.634,218.5,True,TN03D9766,0.975,TN03D9766,accepted,155.2
570,5,auto,1457,324,1920,1037,1648,620,1782,756,0.449,218.5,True,,,,no_text,177.2
575,5,auto,1452,323,1918,1039,1646,622,1783,717,0.521,220.3,True,TN03D9766,0.979,TN03D9766,accepted,236.5
575,5,auto,1452,323,1918,1039,1645,619,1781,757,0.428,220.3,True,,,,no_text,143.0
580,5,auto,1454,325,1918,1038,1647,622,1784,718,0.673,235.1,True,TN03D9766,0.990,TN03D9766,accepted,197.1
580,5,auto,1454,325,1918,1038,1647,620,1781,757,0.537,235.1,True,TN0309766,0.867,TN03O9766,accepted,343.3
585,5,auto,1454,324,1920,1039,1651,623,1779,714,0.635,251.6,True,TN03D9766,0.967,TN03D9766,accepted,155.2
585,5,auto,1454,324,1920,1039,1647,619,1783,758,0.512,251.6,True,TN03D9766,0.965,TN03D9766,accepted,216.6
590,5,auto,1454,323,1920,1040,1650,623,1777,714,0.502,223.0,True,TN03D9766,0.977,TN03D9766,accepted,152.5
590,5,auto,1454,323,1920,1040,1643,620,1780,759,0.309,223.0,True,TN039766,0.933,TN039766,accepted,219.4
595,5,auto,1452,327,1918,1042,1650,627,1768,711,0.395,262.2,True,TN03D9766,0.974,TN03D9766,accepted,152.4
600,5,auto,1447,331,1912,1042,1636,627,1763,757,0.500,220.8,True,TN03D9766,0.939,TN03D9766,accepted,229.4
610,5,auto,1434,333,1905,1042,1633,631,1730,726,0.406,244.1,True,DN703,0.686,,rejected,112.5
615,5,auto,1432,333,1904,1040,1613,628,1734,749,0.597,215.9,True,TN03D9766,0.976,TN03D9766,accepted,194.3
620,5,auto,1428,335,1904,1041,1618,631,1717,726,0.575,247.6,True,,,,no_text,148.2
625,5,auto,1426,336,1905,1043,1621,634,1712,718,0.552,230.0,True,TN03D9766,0.984,TN03D9766,accepted,148.3
630,5,auto,1423,337,1905,1044,1621,636,1708,715,0.519,235.7,True,TN03D9766,0.981,TN03D9766,accepted,151.1
660,5,auto,1418,342,1914,1055,1614,641,1728,722,0.481,246.2,True,TN03D9766,0.973,TN03D9766,accepted,156.7
670,5,auto,1418,343,1916,1058,1611,644,1726,726,0.421,258.6,True,TN03D9766,0.981,TN03D9766,accepted,194.2
675,5,auto,1417,345,1917,1060,1614,648,1726,728,0.638,238.2,True,TN03D9766,0.957,TN03D9766,accepted,155.0
680,5,auto,1414,347,1916,1063,1611,646,1731,734,0.650,223.8,True,TN03D9766,0.963,TN03D9766,accepted,153.2
