frame_id,track_id,vehicle_type,vehicle_bbox_x1,vehicle_bbox_y1,vehicle_bbox_x2,vehicle_bbox_y2,plate_bbox_x1,plate_bbox_y1,plate_bbox_x2,plate_bbox_y2,plate_confidence,detect_inference_ms,ocr_ran,ocr_raw_text,ocr_confidence,ocr_validated_plate,ocr_status,ocr_inference_ms
140,8,auto,1377,315,1916,1021,1573,619,1690,699,0.554,415.4,True,TN03D9766,0.962,TN03D9766,accepted,229.7
145,8,auto,1375,315,1914,1024,1569,619,1681,691,0.486,237.9,True,TN03D9766,0.987,TN03D9766,accepted,204.3
150,8,auto,1370,310,1914,1024,1566,619,1679,695,0.252,243.5,True,TN03D9766,0.977,TN03D9766,accepted,202.3
160,8,auto,1376,312,1915,1019,1566,613,1683,700,0.533,320.1,True,TN03D9766,0.972,TN03D9766,accepted,190.6
165,8,auto,1371,305,1915,1019,1566,611,1681,705,0.482,244.2,True,TN03D9766,0.975,TN03D9766,accepted,193.4
170,8,auto,1367,308,1906,1021,1563,611,1676,696,0.496,264.1,True,TN03D9766,0.981,TN03D9766,accepted,205.8
175,8,auto,1369,312,1910,1019,1566,616,1678,692,0.434,402.8,True,TN03D9766,0.989,TN03D9766,accepted,212.7
180,8,auto,1371,310,1911,1019,1567,610,1678,700,0.423,336.9,True,TN03D9766,0.970,TN03D9766,accepted,198.0
185,8,auto,1371,311,1909,1022,1565,610,1682,699,0.458,449.9,True,TN03D9766,0.975,TN03D9766,accepted,232.9
190,8,auto,1375,313,1910,1022,1566,615,1681,698,0.345,537.5,True,TN03D9766,0.987,TN03D9766,accepted,181.5
195,8,auto,1373,313,1908,1023,1565,621,1683,697,0.437,276.8,True,TN03D9766,0.976,TN03D9766,accepted,247.7
200,8,auto,1370,313,1911,1021,1564,621,1682,697,0.467,412.3,True,TN03D9766,0.988,TN03D9766,accepted,268.5
205,8,auto,1374,315,1913,1023,1565,623,1680,699,0.575,435.0,True,TN03D9766,0.978,TN03D9766,accepted,285.2
210,8,auto,1374,320,1914,1021,1565,623,1682,712,0.638,368.2,True,,,,no_text,129.8
215,8,auto,1372,322,1911,1026,1565,627,1674,702,0.652,364.2,True,TN03D9766,0.989,TN03D9766,accepted,365.4
220,8,auto,1376,320,1914,1023,1566,624,1680,700,0.610,262.1,True,TN03D9766,0.982,TN03D9766,accepted,190.6
225,8,auto,1376,319,1914,1024,1566,623,1681,699,0.654,298.6,True,TN03D9766,0.982,TN03D9766,accepted,207.4
230,8,auto,1376,321,1913,1021,1566,623,1678,698,0.590,421.7,True,TN03D9766,0.981,TN03D9766,accepted,201.4
235,8,auto,1375,319,1914,1021,1565,624,1681,700,0.534,376.1,True,TN03D9766,0.984,TN03D9766,accepted,204.4
240,8,auto,1372,319,1914,1022,1567,626,1678,701,0.610,370.9,True,TN03D9766,0.988,TN03D9766,accepted,252.2
245,8,auto,1377,323,1914,1025,1565,623,1686,721,0.613,283.7,True,TN03D9766,0.979,TN03D9766,accepted,200.5
245,12,car,930,382,1139,532,976,478,1031,496,0.293,283.7,True,,,,no_text,83.9
