frame_id,track_id,vehicle_type,vehicle_bbox_x1,vehicle_bbox_y1,vehicle_bbox_x2,vehicle_bbox_y2,plate_bbox_x1,plate_bbox_y1,plate_bbox_x2,plate_bbox_y2,plate_confidence,detect_inference_ms,ocr_ran,ocr_raw_text,ocr_confidence,ocr_validated_plate,ocr_status,ocr_inference_ms,,,
130,8,auto,1376,311,1914,1021,1567,615,1683,693,0.53,246,True,TN03D9766,0.98,TN03D9766,accepted,186.9,,,
135,8,auto,1376,311,1916,1021,1569,617,1684,693,0.384,219.7,True,TN03D9766,0.988,TN03D9766,accepted,179.2,,,
140,8,auto,1377,315,1916,1021,1573,619,1690,699,0.554,232.2,True,TN03D9766,0.962,TN03D9766,accepted,179.3,,,
145,8,auto,1375,315,1914,1024,1569,619,1681,691,0.486,221,True,TN03D9766,0.987,TN03D9766,accepted,182,,,
150,8,auto,1370,310,1914,1024,1566,619,1679,695,0.252,222.4,True,TN03D9766,0.977,TN03D9766,accepted,181,,,
160,8,auto,1376,312,1915,1019,1566,613,1683,700,0.533,224.5,True,TN03D9766,0.972,TN03D9766,accepted,178.1,,,
165,8,auto,1371,305,1915,1019,1566,611,1681,705,0.482,213.3,True,TN03D9766,0.975,TN03D9766,accepted,182.8,,,
170,8,auto,1367,308,1906,1021,1563,611,1676,696,0.496,243.4,True,TN03D9766,0.981,TN03D9766,accepted,180.4,,,
175,8,auto,1369,312,1910,1019,1566,616,1678,692,0.434,220.5,True,TN03D9766,0.989,TN03D9766,accepted,182.7,,,
180,8,auto,1371,310,1911,1019,1567,610,1678,700,0.423,232.9,True,TN03D9766,0.97,TN03D9766,accepted,181,,,
185,8,auto,1371,311,1909,1022,1565,610,1682,699,0.458,225.4,True,TN03D9766,0.975,TN03D9766,accepted,178.5,,,
190,8,auto,1375,313,1910,1022,1566,615,1681,698,0.345,237.7,True,TN03D9766,0.987,TN03D9766,accepted,186.1,,,
195,8,auto,1373,313,1908,1023,1565,621,1683,697,0.437,221.7,True,TN03D9766,0.976,TN03D9766,accepted,225.6,,,
200,8,auto,1370,313,1911,1021,1564,621,1682,697,0.467,215.6,True,TN03D9766,0.988,TN03D9766,accepted,193.6,,,
205,8,auto,1374,315,1913,1023,1565,623,1680,699,0.575,224.4,True,TN03D9766,0.978,TN03D9766,accepted,224.4,,,
210,8,auto,1374,320,1914,1021,1565,623,1682,712,0.638,223,True,,,,no_text,138,,,
215,8,auto,1372,322,1911,1026,1565,627,1674,702,0.652,231.9,True,TN03D9766,0.989,TN03D9766,accepted,223.8,,,
220,8,auto,1376,320,1914,1023,1566,624,1680,700,0.61,220.1,True,TN03D9766,0.982,TN03D9766,accepted,183.1,,,
225,8,auto,1376,319,1914,1024,1566,623,1681,699,0.654,222.5,True,TN03D9766,0.982,TN03D9766,accepted,181.1,,,
230,8,auto,1376,321,1913,1021,1566,623,1678,698,0.59,218,True,TN03D9766,0.981,TN03D9766,accepted,185.6,,,
235,8,auto,1375,319,1914,1021,1565,624,1681,700,0.534,262.1,True,TN03D9766,0.984,TN03D9766,accepted,194.4,,,
240,8,auto,1372,319,1914,1022,1567,626,1678,701,0.61,238.7,True,TN03D9766,0.988,TN03D9766,accepted,228.3,,,
245,8,auto,1377,323,1914,1025,1565,623,1686,721,0.613,221,True,TN03D9766,0.979,TN03D9766,accepted,176.2,,,
245,12,car,930,382,1139,532,976,478,1031,496,0.293,221,True,,,,no_text,81.2,,,
250,8,auto,1375,325,1916,1024,1567,625,1688,720,0.693,248.4,True,,,,no_text,141.5,,,
250,12,car,858,382,1109,557,907,495,966,515,0.534,248.4,True,,,,no_text,187.2,,,
255,8,auto,1380,323,1917,1022,1572,623,1692,708,0.656,225.6,True,TN03D9766,0.976,TN03D9766,accepted,178.4,,,
255,12,car,750,381,1068,593,816,520,897,547,0.585,225.6,True,TN41AR0C,0.609,,rejected,178.7,,,
255,8,auto,1380,323,1917,1022,1565,622,1695,749,0.297,225.6,True,TN03D9766,0.962,TN03D9766,accepted,234.1,,,
260,12,car,591,380,1005,650,662,559,758,594,0.598,223.3,True,TN41AR0082,0.901,TN41AR0082,accepted,167,,,
260,8,auto,1382,323,1918,1022,1575,626,1687,702,0.347,223.3,True,TN03D9766,0.981,TN03D9766,accepted,199.9,,,
265,13,car,55,373,846,837,141,689,289,741,0.789,253.2,True,TN41AR0082,0.976,TN41AR0082,accepted,165.8,,,
270,8,auto,1391,325,1919,1027,1588,628,1695,697,0.363,227.1,True,TN03D9766,0.982,TN03D9766,accepted,230.4,,,
275,8,auto,1395,324,1919,1026,1588,628,1701,706,0.386,233.5,True,TN03D9766,0.986,TN03D9766,accepted,182.2,,,
280,8,auto,1391,324,1919,1028,1592,629,1695,694,0.409,223.9,True,TN03D9766,0.983,TN03D9766,accepted,227.1,,,
285,8,auto,1393,320,1919,1026,1591,628,1697,696,0.495,238.4,True,TN03D9766,0.982,TN03D9766,accepted,227.7,,,
290,8,auto,1393,325,1919,1029,1589,628,1695,699,0.325,236.7,True,TN03D9766,0.988,TN03D9766,accepted,228.2,,,
305,14,auto,1394,322,1918,1027,1698,823,1782,869,0.341,232.8,True,,,,no_text,53.1,,,
310,14,auto,1392,321,1919,1028,1696,820,1781,870,0.358,257.6,True,,,,no_text,52.6,,,
315,8,auto,1395,324,1919,1028,1589,630,1695,699,0.261,258.7,True,TN03D9766,0.979,TN03D9766,accepted,238.1,,,
320,14,auto,1392,321,1918,1026,1692,817,1782,870,0.292,249.4,True,,,,no_text,47.5,,,
325,14,auto,1394,320,1919,1026,1696,822,1781,870,0.3,230.8,True,,,,no_text,51.2,,,
340,14,auto,1396,320,1919,1026,1694,820,1779,870,0.314,218.6,True,,,,no_text,48.1,,,
375,15,auto,1391,329,1919,1033,1582,630,1698,714,0.275,221.9,True,TN03D9766,0.974,TN03D9766,accepted,179.3,,,
380,15,auto,1392,332,1918,1034,1589,635,1706,711,0.322,225.5,True,TN03D9766,0.972,TN03D9766,accepted,186.2,,,
385,15,auto,1392,331,1918,1034,1586,633,1703,705,0.394,225.6,True,TN03D9766,0.982,TN03D9766,accepted,231.8,,,
390,15,auto,1396,330,1919,1032,1591,631,1698,699,0.388,221.4,True,TN03D9766,0.979,TN03D9766,accepted,236.7,,,
395,15,auto,1401,329,1919,1033,1597,632,1707,698,0.522,227.8,True,TN03D9766,0.981,TN03D9766,accepted,233.5,,,
400,15,auto,1405,329,1918,1035,1596,631,1711,702,0.593,221.2,True,TN03D9766,0.984,TN03D9766,accepted,185.9,,,
400,15,auto,1405,329,1918,1035,1594,629,1716,756,0.363,221.2,True,TN03D9766,0.952,TN03D9766,accepted,181.6,,,
400,16,car,998,395,1105,516,1062,489,1110,513,0.296,221.2,True,,,,no_text,56.6,,,
405,15,auto,1408,331,1919,1036,1599,630,1716,702,0.606,235.4,True,TN03D9766,0.978,TN03D9766,accepted,239.4,,,
410,15,auto,1405,328,1920,1037,1602,628,1711,697,0.589,219.4,True,TN03D9766,0.975,TN03D9766,accepted,178,,,
